age,income,loan_amount,credit_score,defaulted
34,85155,5431,784,0
50,75168,28764,711,0
65,72487,22627,383,0
29,32342,40310,412,1
68,60806,9906,631,0
39,68770,37914,677,0
39,98623,45814,340,1
63,119785,46379,404,1
47,95629,14076,501,1
55,72603,38650,749,1
55,101974,47881,565,1
62,46399,47413,509,0
68,105382,7012,417,0
25,101244,8151,676,0
44,96534,29211,839,0
44,75106,28117,383,0
51,50678,37378,753,0
38,96218,43652,813,0
47,83230,7894,686,0
50,94055,14467,649,1
45,76373,32010,595,0
64,51480,43641,557,1
50,105230,13289,380,1
22,88836,45976,567,1
65,92258,44596,718,0
36,59986,24171,534,1
21,44160,35905,610,0
52,105595,21829,656,0
66,99111,35054,512,1
34,84929,49478,348,1
61,93506,45139,426,0
45,54911,49713,522,0
47,107127,30734,578,0
46,51821,8052,707,0
63,95039,4654,804,0
23,80535,24486,593,1
52,104458,19743,576,0
58,32175,49368,737,0
54,74771,25489,406,1
41,106925,9636,719,0
46,86358,7441,728,0
66,37327,25611,674,0
63,67057,43435,372,1
48,26150,13149,329,1
52,24425,35566,487,0
50,36032,43368,663,0
69,22198,22675,750,0
38,80500,6495,494,0
49,73394,43668,455,0
40,40079,14673,471,1
50,56220,12130,340,1
20,61874,23668,362,1
35,33859,16222,322,0
42,70460,24669,659,0
59,51419,35068,374,1
48,28705,24253,417,1
20,62880,10435,679,0
57,43236,29552,589,0
63,107955,38384,739,0
41,105514,17393,306,0
67,35358,11617,495,1
49,119713,39520,720,0
64,114914,10852,492,1
39,96918,32401,447,1
40,34596,7295,501,1
19,53572,36993,743,0
44,98757,35084,718,0
59,21279,46105,726,0
19,83197,40575,778,0
43,82516,37451,774,0
34,27083,8227,425,0
57,37771,32910,694,0
50,49975,37041,624,0
26,65648,24384,691,0
60,68285,1145,739,0
65,39063,38778,503,0
56,87642,17035,785,0
46,110093,4040,330,1
59,106143,43422,687,0
43,57599,27160,733,0
52,71920,18633,675,0
67,48529,30344,643,0
42,55954,18014,742,0
41,47856,15996,374,1
30,22573,42621,454,0
24,98344,12695,729,0
53,55367,3852,662,0
62,119608,17014,747,0
37,80774,28042,533,1
18,43752,34755,561,1
25,75029,41390,424,1
63,37685,24711,544,1
33,71693,27122,841,1
31,75961,10160,784,0
29,96908,28213,421,1
68,94532,40420,424,1
40,101994,8421,848,0
32,76133,22400,469,1
45,117425,34537,423,0
51,81268,18727,334,0
19,112201,47882,386,1
49,58243,5358,500,1
40,77384,29482,668,1
39,51653,33117,376,1
68,46657,24164,358,1
42,59952,32910,730,0
39,42180,33496,799,0
39,117432,45311,408,0
66,98411,30371,577,0
69,21622,39467,367,0
59,68756,18625,368,0
23,60809,34893,464,1
32,36725,11793,788,0
60,81396,32007,604,0
54,71226,26766,664,0
50,101182,40532,678,0
25,102565,13323,642,0
61,49402,46799,653,0
61,24263,47820,715,0
22,116523,46408,408,1
56,66828,8843,796,0
21,67924,15210,640,0
23,94182,17456,682,0
62,113065,32367,832,0
49,79052,11106,599,0
69,31664,38957,438,1
47,55737,3472,658,0
64,109563,7704,798,0
52,49373,4713,684,0
57,56397,6051,579,0
69,106145,11756,782,0
33,58709,3475,410,1
30,81120,37378,438,1
67,39250,5255,734,0
59,41172,15484,808,0
47,31555,35503,572,1
36,107410,9258,398,1
34,98617,41747,403,1
36,73276,36196,513,1
45,77492,46113,464,1
43,73002,41194,819,0
54,109599,9533,583,0
43,92355,33581,816,0
40,111248,6249,463,1
26,44762,20201,363,1
29,31046,10686,390,1
18,116999,47877,416,1
18,48769,33007,566,0
64,73302,1661,439,1
51,43150,45843,545,1
49,88247,31137,694,0
65,24853,48556,786,0
42,114613,43828,775,0
57,109399,49604,816,0
62,41792,11526,483,1
18,79129,4374,319,1
33,94478,26592,823,0
56,87298,29982,828,0
22,51987,1207,446,0
39,35850,36433,603,0
46,32112,24197,527,1
20,44058,34400,401,1
29,65420,4083,716,0
43,58890,30328,515,1
33,86017,47479,706,0
68,67304,43891,698,0
54,52921,21103,798,1
39,21524,40891,764,0
46,35048,11754,381,0
31,55111,35447,664,1
45,57904,16901,462,1
22,74912,34004,347,1
64,54008,8446,810,0
66,20060,38211,628,0
47,94666,49231,415,1
63,103559,30301,636,0
69,75337,27116,446,1
22,33350,42323,622,0
29,44354,19752,742,0
33,65186,33376,312,1
43,48145,17669,793,0
43,54020,33916,586,0
65,106123,14395,413,1
38,95186,21421,779,0
56,105469,27342,321,1
53,40581,5895,648,0
50,108929,12023,619,0
47,43051,11699,425,1
54,71474,10715,576,0
40,111748,20169,503,1
27,89626,17163,493,1
22,26960,6782,846,0
53,55772,23641,585,0
51,41520,19792,356,0
69,69481,36585,602,0
48,56408,31682,462,1
27,114006,48864,318,0
36,77134,19880,669,0
49,40491,39067,563,0
18,21341,43685,412,1
22,64623,19073,787,0
62,110327,37035,626,0
21,20338,38174,841,0
33,91431,25837,364,1
41,32254,18826,591,0
33,71860,25981,324,1
19,31344,11382,848,0
66,21750,5437,300,0
45,74756,6435,848,0
49,87957,25819,440,0
44,78053,37875,487,1
37,90855,32982,427,1
41,35896,34328,500,1
29,75761,13329,426,1
67,82552,26169,556,0
52,97454,22932,846,0
50,110600,35594,493,0
50,47935,12421,403,0
68,57641,46033,834,0
60,49711,8629,564,1
54,90342,9325,683,0
29,32182,29495,559,0
20,107833,32750,713,0
18,76276,30619,657,0
50,39541,41461,374,1
57,114457,9264,654,1
27,102310,13686,487,1
60,64813,47484,589,0
61,57198,25226,344,0
46,28820,7721,382,1
30,44070,21609,422,1
29,89768,8373,657,0
48,31122,39675,827,0
63,100559,49895,365,0
19,93543,29937,674,0
68,103441,6656,461,1
67,61786,9984,679,0
52,114934,30984,657,0
40,119804,9286,487,0
34,26737,6901,621,0
43,56062,32552,749,0
25,74237,26709,773,0
46,71571,32055,312,1
43,45510,38685,483,0
27,39426,9429,410,0
43,57265,15716,807,0
51,37850,49563,589,0
68,86150,12138,594,0
58,107312,36298,750,1
24,109613,24429,514,0
21,94910,6772,326,1
67,72375,49244,530,1
62,55435,49519,620,0
28,116443,36732,532,1
46,77132,40905,736,0
53,98945,18347,832,0
42,102050,17920,702,1
38,115402,32822,352,1
53,22983,47659,612,0
27,117241,41108,580,1
54,40662,24563,330,0
26,43510,8967,636,0
41,98187,46183,482,1
52,60998,12871,322,1
66,76846,29763,843,0
52,114071,12916,745,0
65,26640,9734,373,1
53,64547,34613,309,1
35,74620,29179,783,0
66,35317,36262,755,0
56,27564,13677,459,1
49,47345,19268,313,1
41,114223,13330,477,1
40,99273,21733,711,0
49,94859,38947,352,0
54,100765,28286,707,0
29,94038,7610,321,1
66,72393,7430,329,1
30,86081,40922,559,1
40,49430,14828,504,1
42,95532,43913,358,1
52,47788,32497,770,0
58,115505,40256,765,0
47,68543,37618,311,1
34,33919,47332,589,0
66,89346,27526,653,0
37,116122,31158,374,0
65,59974,26032,740,0
42,36371,38846,540,1
39,65084,45936,453,0
30,49629,30794,395,1
36,71184,6448,593,0
66,81916,29861,508,1
53,93972,29141,642,0
29,82187,10074,387,0
58,32984,7406,689,0
36,53039,32823,624,0
29,105431,24291,456,1
26,103691,42568,436,0
24,78606,33003,727,0
45,30616,47851,751,1
31,70072,35406,440,0
48,44574,24312,382,0
69,23430,44108,476,0
36,32676,2382,497,1
64,30816,35171,720,0
33,52733,42779,700,1
22,105680,4292,770,0
52,22050,42779,517,1
29,53933,34187,474,0
42,44951,13411,322,1
69,52413,38285,534,1
38,54801,16422,312,1
53,75619,43468,400,0
40,52913,33371,835,0
33,60600,6693,822,0
56,77775,34535,751,0
62,110816,15818,730,0
59,110093,32238,832,0
56,55400,31874,592,0
31,24494,27715,400,0
48,100688,28605,801,0
22,109431,35317,603,1
52,94691,32174,839,0
40,117419,10956,654,0
46,63001,39908,602,0
60,87364,11837,795,0
28,65028,4716,526,1
35,117659,5481,535,1
64,57573,25282,754,0
29,20806,7548,312,1
26,76638,38605,509,1
27,49757,8758,696,0
61,54636,44668,399,1
34,100097,24177,330,1
55,68280,25022,827,0
24,44262,41761,628,0
63,100435,6542,465,0
30,82211,26476,758,1
57,74842,31784,399,1
59,76979,23740,472,1
26,101470,25817,461,1
67,58197,48596,562,1
44,61844,17052,573,0
19,84754,36153,302,1
22,54157,48076,327,1
46,97129,1671,625,0
54,60042,1163,448,1
55,81665,42424,839,0
36,102856,45002,787,0
25,47376,5795,737,0
65,75554,11634,364,0
62,34199,5798,655,0
18,101412,23420,832,0
39,70948,30300,551,1
69,93781,25345,534,1
34,92750,11749,526,1
24,86262,39595,824,0
42,66600,26121,612,0
62,96898,38487,348,1
21,82483,29411,417,0
53,38297,34361,353,0
23,50448,22223,343,1
48,46172,8394,352,1
36,62874,15056,824,0
61,27657,29380,401,0
56,104386,27035,697,0
44,45425,31620,437,1
27,46685,20877,686,0
43,44578,44404,410,0
36,48831,31911,316,1
56,27906,33784,481,0
20,81413,4191,835,0
62,74028,34160,840,0
30,27287,26000,470,0
67,53660,40040,708,1
45,95758,4631,677,0
37,80504,7172,487,1
45,79720,43080,529,1
25,54701,24561,418,0
58,103300,25817,455,1
56,37674,21281,764,0
18,103560,29671,403,1
20,43874,26364,801,0
30,63642,42674,474,1
45,117820,28425,720,0
66,85160,29602,433,0
42,37602,24253,690,1
50,108801,24472,800,0
55,45931,9080,332,1
23,114377,8099,354,1
61,49192,26431,818,0
62,66542,32186,311,1
49,62520,48684,827,0
62,84772,31111,672,0
64,78762,40851,783,0
38,70106,23614,527,1
33,101121,27724,606,1
38,45559,42991,756,0
28,53742,5940,459,1
54,89669,29758,630,0
53,100199,37224,524,1
52,41754,8788,803,0
36,23972,29082,755,0
37,90831,25034,344,1
35,61873,36479,513,0
64,114661,12280,358,0
58,29903,19052,494,1
66,23020,17531,788,0
31,61755,23804,456,1
32,105956,29903,525,1
48,106988,45857,711,0
18,65648,11142,504,1
20,29516,49355,378,1
33,22396,10866,423,1
40,104082,5531,770,1
28,39129,46454,517,1
29,21591,39098,815,1
27,31303,39278,403,1
49,50561,29138,692,0
33,91719,28065,733,0
25,112108,30956,630,0
55,119616,42732,442,1
29,106231,40261,839,0
41,27314,11759,577,1
45,39623,6439,532,0
25,87675,48241,828,0
45,116826,43533,389,1
53,85082,29270,791,0
43,103624,14279,498,1
25,53130,40279,661,0
67,71756,45251,740,1
45,117624,24888,325,0
45,46292,18630,324,1
54,106206,36144,693,0
58,89274,32182,806,0
53,22469,26538,600,0
44,73947,12824,638,0
34,42534,33125,566,1
26,83620,7979,760,0
50,68874,27189,755,0
37,69708,43600,659,1
30,94553,13504,367,0
45,88344,21669,711,0
65,69138,7910,790,0
46,74302,47857,348,1
30,67638,35964,401,1
63,98249,21131,515,1
52,22719,26227,737,0
23,42890,6978,458,1
35,97236,22991,788,0
68,56509,18153,541,1
22,62534,34548,304,0
64,112241,43676,660,0
42,38787,40071,758,0
19,68845,48454,547,1
27,77932,4983,721,0
47,112124,10503,314,1
67,111659,30921,421,0
62,53062,17905,576,1
22,95713,46838,752,0
50,107263,24953,689,0
18,115756,27806,593,0
35,80461,46000,745,1
49,95418,23168,509,1
64,86672,5583,601,0
66,54832,39714,522,0
28,51966,40896,302,0
38,92545,12889,817,0
43,32987,28413,392,1
42,57311,13275,819,0
39,51575,3461,727,0
44,83852,15291,792,0
66,21007,47804,534,1
30,90981,12435,460,1
50,96242,28935,630,0
51,67517,34453,632,0
58,49257,19544,349,1
52,107272,13258,822,0
18,62207,31841,791,0
38,33281,49758,571,0
65,81246,11736,551,1
23,21435,38643,389,1
45,118875,44950,745,0
34,111357,35964,631,0
22,46660,29044,438,1
48,25084,40933,656,0
22,102197,16997,573,1
55,33507,15215,318,0
20,92595,34069,610,1
40,103807,24911,453,1
54,65539,18030,689,0
54,27491,30334,559,0
27,70192,15571,424,1
27,100395,43719,653,0
36,83888,29927,572,0
34,93609,21714,544,0
38,29077,44541,749,0
31,40953,24387,546,0
26,96919,29444,819,0
63,87889,49908,440,1
18,43821,20921,661,0
68,57567,14057,307,0
62,44860,46268,777,0
30,41195,25858,651,0
21,97475,49689,794,1
18,110874,45638,726,0
66,107266,27062,338,0
57,41427,37850,486,1
49,47083,47486,392,1
51,107046,21567,385,0
45,77372,30739,343,1
48,64064,44285,436,0
25,27813,4754,720,1
56,51598,28044,373,1
43,113106,2724,847,0
51,47082,2376,811,0
20,49241,9706,455,1
67,116214,9894,554,1
29,64569,19037,470,1
18,31745,19450,469,1
61,46029,17406,621,0
22,33025,30725,755,0
47,34288,6926,454,0
47,109186,40019,648,0
34,26540,10496,750,0
65,117768,37068,472,1
64,101958,30806,309,0
40,88878,23663,564,1
32,61846,42321,737,0
54,95932,37495,546,1
38,37482,23656,845,0
31,43411,26860,798,0
19,70975,17832,428,1
28,80545,39787,626,0
68,98797,49231,703,0
56,72307,22727,658,0
55,23093,43815,316,1
51,97258,30545,573,1
55,42042,45522,415,0
67,72930,3520,390,1
51,64413,4081,381,1
35,113623,35196,623,0
47,117883,37735,413,1
32,53756,40213,357,1
44,73268,15566,453,1
68,59214,15042,703,0
51,101871,26498,565,0
69,48602,12329,614,1
55,73331,32656,340,0
50,68901,3159,404,1
41,119986,38900,492,1
32,83416,20363,700,0
47,52196,48701,577,0
59,25626,44241,653,0
68,27424,20033,555,1
34,32857,11805,398,1
22,39982,36851,581,1
46,96961,27832,702,0
21,21980,14944,408,1
27,68290,20873,498,1
34,46431,41372,602,0
27,104976,24928,626,0
34,102711,16379,453,1
37,46385,37751,704,0
41,58158,35546,761,0
22,43019,25286,431,1
51,38639,6110,383,0
23,105530,13087,698,0
19,119911,24762,408,0
30,41563,18081,520,0
60,59341,35947,667,0
60,25776,10596,446,0
65,56444,39019,411,1
28,88916,43003,793,0
68,28711,19313,804,0
64,94318,48639,774,0
40,102970,2013,570,0
33,105553,24705,720,0
48,50707,2828,666,0
28,59110,8909,579,1
33,81788,39356,582,0
25,102879,14109,339,1
21,58827,3023,488,1
57,25655,15537,463,1
21,64859,27661,835,0
42,73625,39659,835,0
20,72098,34848,303,1
49,35251,38804,589,0
20,20526,16379,732,0
44,88760,28766,770,0
46,67837,44590,480,1
49,31536,3563,547,1
67,48541,37060,578,0
68,99083,30197,553,0
36,71027,4586,480,1
38,54531,17087,808,0
22,28712,49868,625,1
35,85455,24225,656,0
45,94744,30750,690,0
59,25109,7643,384,1
39,69268,28523,616,0
38,74615,37727,511,1
23,102503,12005,814,0
18,49759,44543,683,1
22,105708,1161,641,0
58,80112,17029,337,1
29,46589,15226,810,0
43,50015,29731,719,0
63,49009,44922,468,0
51,103309,45848,642,0
66,82046,4390,605,0
31,46143,6997,841,0
43,26154,13693,836,1
62,41804,43092,411,1
44,61688,1541,710,0
26,84288,22817,505,1
43,71195,38861,484,1
64,40581,14428,681,1
39,72648,44934,795,0
64,50087,49831,678,0
47,69930,11258,346,0
60,52981,17044,827,0
65,89298,30411,803,0
34,66167,6469,321,1
43,95304,29854,512,1
53,63408,7256,609,0
18,59499,11720,571,0
25,72269,34937,501,1
66,58559,34598,331,0
52,94319,2651,742,1
69,115317,20194,461,0
32,116347,26051,553,1
64,68787,28386,820,0
39,55488,10518,779,1
31,94441,47026,309,0
43,94663,17184,804,0
45,42431,34787,735,0
40,81681,22621,410,1
31,83483,11028,452,1
41,69153,13448,401,0
19,26368,46253,490,1
62,47424,35051,380,0
43,65004,31447,788,1
31,103869,19394,387,1
68,108652,35501,493,1
24,76985,31254,403,0
20,70069,19509,395,0
64,72326,49998,722,0
40,101061,15472,497,1
63,43398,46657,300,1
60,118393,4471,706,0
64,70861,42796,677,0
62,95897,31268,466,1
35,101905,9329,808,0
55,88577,35865,612,0
